"boosting","learning_rate","num_rounds","num_leaves","min_data_in_leaf","feature_fraction","max_depth","extra_trees","avg_accuracy_train","avg_accuracy_test","avg_auc_train","avg_auc_test","avg_precision_train","avg_precision_test","avg_recall_train","avg_recall_test","avg_logloss_train","avg_logloss_test"
"gbdt",0.05,100,70,30,1,8,FALSE,0.706534130222263,0.69469658913664,0.785246369366317,0.766253733065206,0.634995355641166,0.621508825741122,0.670315979217474,0.655094899798537,0.542797987334161,0.559729371711986
"gbdt",0.05,200,70,10,0.75,8,FALSE,0.718073529395178,0.694679203531149,0.801975866374483,0.766233345466834,0.648936104873181,0.62207527629427,0.682186406531651,0.652571307390521,0.526353213929456,0.559664656065535
"gbdt",0.1,100,50,30,1,6,FALSE,0.708758014593202,0.6946704806128,0.787862132293979,0.766373698992706,0.638802256036862,0.622423773650132,0.668311949952285,0.650980807973704,0.539674513806404,0.559679551692476
"gbdt",0.05,200,50,30,1,10,FALSE,0.712972954701107,0.694670476824673,0.794567187544163,0.766517041900159,0.642287465049098,0.621480994992396,0.67871911780299,0.655116106457428,0.533487803631159,0.559288278390142
"gbdt",0.05,200,70,30,1,6,FALSE,0.708784127189256,0.69467047341536,0.788483338629519,0.766406997697121,0.638664856354488,0.622510871329815,0.668990563036794,0.650620294772559,0.539104454555892,0.559559957776489
"gbdt",0.05,200,100,30,1,6,FALSE,0.708784127189256,0.69467047341536,0.788483338629519,0.766406997697121,0.638664856354488,0.622510871329815,0.668990563036794,0.650620294772559,0.539104454555892,0.559559957776489
"gbdt",0.05,200,70,10,0.75,-1,FALSE,0.72114388184938,0.694661789514711,0.806483225664417,0.766304342551599,0.652473064669902,0.621800998128518,0.686024811790902,0.653674053652847,0.522775632700557,0.559595743694956
"gbdt",0.05,100,100,10,0.75,-1,FALSE,0.714922664768286,0.694661783074897,0.797042098670822,0.766037911773556,0.644799709132691,0.621674609169528,0.680092248966175,0.654183013466228,0.532808555834945,0.560121890088049
"gbdt",0.15,100,31,20,1,-1,FALSE,0.71198069295502,0.694653065838737,0.793231039084093,0.765780302306744,0.640902312381786,0.621301924015826,0.678379811260736,0.655731099565264,0.534618272246953,0.560154860926337
"gbdt",0.05,200,100,10,1,8,FALSE,0.72796568423616,0.694653063565861,0.813802346643449,0.765883268567137,0.660862062577351,0.622259291892685,0.69275792598876,0.65159580108154,0.515020036845139,0.559890708229594
"gbdt",0.05,200,70,30,1,10,FALSE,0.72086317781038,0.694653060914173,0.804219034385052,0.766130601127171,0.651809259611296,0.621771056330977,0.686825363164034,0.65373767362952,0.524595341388299,0.559639445674084
"gbdt",0.05,200,70,20,0.75,10,FALSE,0.719912260574003,0.694644367164396,0.803564504107618,0.766337213922467,0.650935384777325,0.621691227702927,0.68494857385219,0.654034566853992,0.525166878628148,0.559499831699392
"gbdt",0.05,100,100,20,1,10,FALSE,0.71359311810893,0.694644355042392,0.794733115374952,0.766451851309151,0.642671589383196,0.621037496525242,0.680670130420952,0.656855052486481,0.533959489888032,0.559491159200712
"gbdt",0.05,300,50,30,0.75,6,FALSE,0.714156704501511,0.694626962997086,0.795670364442893,0.766249412298438,0.645776776604734,0.622947033873687,0.672441946771286,0.648499628883469,0.532398625913287,0.559756818514741
